Season,Quarter,Year,DOY,Month,Site,Date,NO3cq,NO3Q_rvalue
Winter,1,2013,7,1,LMP,1/7/2013,-0.251654187,-0.691059222
Winter,1,2013,8,1,LMP,1/8/2013,-0.248028478,-0.665828372
Winter,1,2013,9,1,LMP,1/9/2013,-0.244159316,-0.651329598
Winter,1,2013,10,1,LMP,1/10/2013,-0.251425694,-0.656405773
Winter,1,2013,11,1,LMP,1/11/2013,-0.258444909,-0.651741289
Winter,1,2013,12,1,LMP,1/12/2013,-0.263175824,-0.648004922
Winter,1,2013,13,1,LMP,1/13/2013,-0.273870787,-0.651287068
Winter,1,2013,14,1,LMP,1/14/2013,-0.283466117,-0.639182775
Winter,1,2013,15,1,LMP,1/15/2013,-0.288902537,-0.615394182
Winter,1,2013,16,1,LMP,1/16/2013,-0.314845462,-0.617313081
Winter,1,2013,17,1,LMP,1/17/2013,-0.302840712,-0.603175874
Winter,1,2013,18,1,LMP,1/18/2013,-0.31854924,-0.641624005
Winter,1,2013,19,1,LMP,1/19/2013,-0.325037838,-0.648309955
Winter,1,2013,20,1,LMP,1/20/2013,-0.336733379,-0.662024434
Winter,1,2013,21,1,LMP,1/21/2013,-0.372069568,-0.688315633
Winter,1,2013,22,1,LMP,1/22/2013,-0.391330051,-0.670707104
Winter,1,2013,23,1,LMP,1/23/2013,-0.364490804,-0.609932277
Winter,1,2013,24,1,LMP,1/24/2013,-0.311785504,-0.558086943
Winter,1,2013,25,1,LMP,1/25/2013,-0.297706612,-0.574027369
Winter,1,2013,26,1,LMP,1/26/2013,-0.326737739,-0.667112244
Winter,1,2013,27,1,LMP,1/27/2013,-0.341099832,-0.71593584
Winter,1,2013,28,1,LMP,1/28/2013,-0.347382632,-0.740537936
Winter,1,2013,29,1,LMP,1/29/2013,-0.360417288,-0.763501315
Winter,1,2013,30,1,LMP,1/30/2013,-0.368519453,-0.78352829
Winter,1,2013,31,1,LMP,1/31/2013,-0.303925365,-0.608869439
Winter,1,2013,32,2,LMP,2/1/2013,-0.199663962,-0.416785793
Winter,1,2013,33,2,LMP,2/2/2013,-0.147604303,-0.337951348
Winter,1,2013,34,2,LMP,2/3/2013,-0.143558502,-0.354719615
Winter,1,2013,35,2,LMP,2/4/2013,-0.145805448,-0.370204379
Winter,1,2013,36,2,LMP,2/5/2013,-0.150095626,-0.382622328
Winter,1,2013,37,2,LMP,2/6/2013,-0.152867003,-0.387973644
Winter,1,2013,38,2,LMP,2/7/2013,-0.155158045,-0.390987266
Winter,1,2013,39,2,LMP,2/8/2013,-0.158647525,-0.395895548
Winter,1,2013,40,2,LMP,2/9/2013,-0.170887144,-0.420092498
Winter,1,2013,41,2,LMP,2/10/2013,-0.179772187,-0.433720774
Winter,1,2013,42,2,LMP,2/11/2013,-0.187022697,-0.441174949
Winter,1,2013,43,2,LMP,2/12/2013,-0.190932278,-0.442767384
Winter,1,2013,44,2,LMP,2/13/2013,-0.193544466,-0.441123772
Winter,1,2013,45,2,LMP,2/14/2013,-0.196249479,-0.435108358
Winter,1,2013,46,2,LMP,2/15/2013,-0.188603781,-0.41091712
Winter,1,2013,47,2,LMP,2/16/2013,-0.166594018,-0.36527552
Winter,1,2013,48,2,LMP,2/17/2013,-0.143527583,-0.327735697
Winter,1,2013,49,2,LMP,2/18/2013,-0.130787516,-0.31955043
Winter,1,2013,50,2,LMP,2/19/2013,-0.109558197,-0.28457852
Winter,1,2013,51,2,LMP,2/20/2013,-0.100460277,-0.27687219
Winter,1,2013,52,2,LMP,2/21/2013,-0.092162893,-0.268259854
Winter,1,2013,53,2,LMP,2/22/2013,-0.098648125,-0.30454893
Winter,1,2013,54,2,LMP,2/23/2013,-0.119020379,-0.377654676
Winter,1,2013,55,2,LMP,2/24/2013,-0.135201014,-0.421646613
Winter,1,2013,56,2,LMP,2/25/2013,-0.147900047,-0.448042692
Winter,1,2013,57,2,LMP,2/26/2013,-0.158386644,-0.46168325
Winter,1,2013,58,2,LMP,2/27/2013,-0.167840348,-0.465644148
Winter,1,2013,59,2,LMP,2/28/2013,-0.150322509,-0.408035091
Winter,1,2013,60,3,LMP,3/1/2013,-0.133112305,-0.362520923
Winter,1,2013,61,3,LMP,3/2/2013,-0.142397947,-0.427903942
Winter,1,2013,62,3,LMP,3/3/2013,-0.184142849,-0.562984067
Winter,1,2013,63,3,LMP,3/4/2013,-0.211406809,-0.617608146
Winter,1,2013,64,3,LMP,3/5/2013,-0.202180893,-0.593160075
Winter,1,2013,65,3,LMP,3/6/2013,-0.183922716,-0.580446649
Winter,1,2013,66,3,LMP,3/7/2013,-0.173901991,-0.611734364
Winter,1,2013,67,3,LMP,3/8/2013,-0.174557847,-0.68299507
Winter,1,2013,68,3,LMP,3/9/2013,-0.183262563,-0.770828768
Winter,1,2013,69,3,LMP,3/10/2013,-0.195557869,-0.829402571
Winter,1,2013,70,3,LMP,3/11/2013,-0.207686586,-0.85639507
Winter,1,2013,71,3,LMP,3/12/2013,-0.209578616,-0.864288408
Winter,1,2013,72,3,LMP,3/13/2013,-0.194702858,-0.858115943
Winter,1,2013,73,3,LMP,3/14/2013,-0.196816584,-0.881124308
Winter,1,2013,74,3,LMP,3/15/2013,-0.212917814,-0.897227061
Winter,1,2013,75,3,LMP,3/16/2013,-0.226948794,-0.903027306
Winter,1,2013,76,3,LMP,3/17/2013,-0.240016799,-0.907613077
Winter,1,2013,77,3,LMP,3/18/2013,-0.246982153,-0.904681523
Winter,1,2013,78,3,LMP,3/19/2013,-0.252613984,-0.900146141
Winter,1,2013,79,3,LMP,3/20/2013,-0.260183831,-0.901100056
Winter,1,2013,80,3,LMP,3/21/2013,-0.264048345,-0.897294222
Winter,1,2013,81,3,LMP,3/22/2013,-0.265240045,-0.891160341
Winter,1,2013,82,3,LMP,3/23/2013,-0.26535542,-0.883423884
Winter,1,2013,83,3,LMP,3/24/2013,-0.263317615,-0.871821742
Winter,1,2013,84,3,LMP,3/25/2013,-0.267425685,-0.853279527
Winter,1,2013,85,3,LMP,3/26/2013,-0.269267947,-0.8296164
Winter,1,2013,86,3,LMP,3/27/2013,-0.267509292,-0.802227837
Winter,1,2013,87,3,LMP,3/28/2013,-0.272603577,-0.776618635
Winter,1,2013,88,3,LMP,3/29/2013,-0.281153241,-0.745081696
Winter,1,2013,89,3,LMP,3/30/2013,-0.279954232,-0.745901042
Winter,1,2013,90,3,LMP,3/31/2013,-0.299248776,-0.773182329
Spring,2,2013,91,4,LMP,4/1/2013,-0.330233296,-0.806608018
Spring,2,2013,92,4,LMP,4/2/2013,-0.490271123,-0.718796222
Spring,2,2013,93,4,LMP,4/3/2013,-0.723775908,-0.645157582
Spring,2,2013,94,4,LMP,4/4/2013,-0.884190316,-0.606290361
Spring,2,2013,95,4,LMP,4/5/2013,-0.92843549,-0.552028266
Spring,2,2013,96,4,LMP,4/6/2013,-0.886642766,-0.483448949
Spring,2,2013,97,4,LMP,4/7/2013,-0.793144265,-0.404734318
Spring,2,2013,98,4,LMP,4/8/2013,-0.656688102,-0.320062531
Spring,2,2013,99,4,LMP,4/9/2013,-0.476445565,-0.227258268
Spring,2,2013,100,4,LMP,4/10/2013,-0.295750029,-0.141870271
Spring,2,2013,101,4,LMP,4/11/2013,-0.222991601,-0.107140168
Spring,2,2013,102,4,LMP,4/12/2013,-0.280821624,-0.131299404
Spring,2,2013,103,4,LMP,4/13/2013,-0.456760794,-0.198558729
Spring,2,2013,104,4,LMP,4/14/2013,-0.676267988,-0.26531076
Spring,2,2013,105,4,LMP,4/15/2013,-0.838805364,-0.299932671
Spring,2,2013,106,4,LMP,4/16/2013,-0.810911917,-0.275133073
Spring,2,2013,107,4,LMP,4/17/2013,-0.58322592,-0.193502381
Spring,2,2013,108,4,LMP,4/18/2013,-0.255251834,-0.086063464
Spring,2,2013,109,4,LMP,4/19/2013,0.037722772,0.013442856
Spring,2,2013,110,4,LMP,4/20/2013,0.238603398,0.09095485
Spring,2,2013,111,4,LMP,4/21/2013,0.339035571,0.139966378
Spring,2,2013,112,4,LMP,4/22/2013,0.43161857,0.194653344
Spring,2,2013,113,4,LMP,4/23/2013,0.508415657,0.254030571
Spring,2,2013,114,4,LMP,4/24/2013,0.507716278,0.286443495
Spring,2,2013,115,4,LMP,4/25/2013,0.453245493,0.290178104
Spring,2,2013,116,4,LMP,4/26/2013,0.378180553,0.276951919
Spring,2,2013,117,4,LMP,4/27/2013,0.290592142,0.244530238
Spring,2,2013,118,4,LMP,4/28/2013,0.185342068,0.18065662
Spring,2,2013,119,4,LMP,4/29/2013,0.059042377,0.066667921
Spring,2,2013,120,4,LMP,4/30/2013,-0.069696788,-0.091554329
Spring,2,2013,121,5,LMP,5/1/2013,-0.221445188,-0.335450465
Spring,2,2013,122,5,LMP,5/2/2013,-0.344338338,-0.517292428
Spring,2,2013,123,5,LMP,5/3/2013,-0.394214895,-0.567016837
Spring,2,2013,124,5,LMP,5/4/2013,-0.427653737,-0.595401256
Spring,2,2013,125,5,LMP,5/5/2013,-0.469056571,-0.632478451
Spring,2,2013,126,5,LMP,5/6/2013,-0.485898241,-0.664093305
Spring,2,2013,127,5,LMP,5/7/2013,-0.512262729,-0.700863274
Spring,2,2013,128,5,LMP,5/8/2013,-0.541829599,-0.736203976
Spring,2,2013,129,5,LMP,5/9/2013,-0.580527453,-0.761537257
Spring,2,2013,130,5,LMP,5/10/2013,-0.616020411,-0.781321598
Spring,2,2013,131,5,LMP,5/11/2013,-0.67578959,-0.817113566
Spring,2,2013,132,5,LMP,5/12/2013,-0.756616688,-0.850334549
Spring,2,2013,133,5,LMP,5/13/2013,-0.875800129,-0.893747661
Spring,2,2013,134,5,LMP,5/14/2013,-0.984040158,-0.91274627
Spring,2,2013,135,5,LMP,5/15/2013,-1.044181658,-0.914974902
Spring,2,2013,136,5,LMP,5/16/2013,-1.052432312,-0.907168788
Spring,2,2013,137,5,LMP,5/17/2013,-0.987411373,-0.89251329
Spring,2,2013,138,5,LMP,5/18/2013,-0.906654872,-0.885176236
Spring,2,2013,139,5,LMP,5/19/2013,-0.811963846,-0.881370159
Spring,2,2013,140,5,LMP,5/20/2013,-0.74577613,-0.877247969
Spring,2,2013,141,5,LMP,5/21/2013,-0.729311473,-0.871134187
Spring,2,2013,142,5,LMP,5/22/2013,-0.676595237,-0.775411392
Spring,2,2013,143,5,LMP,5/23/2013,-0.475692997,-0.582120311
Spring,2,2013,144,5,LMP,5/24/2013,-0.282737462,-0.435852046
Spring,2,2013,145,5,LMP,5/25/2013,-0.235326445,-0.433475647
Spring,2,2013,146,5,LMP,5/26/2013,-0.261067334,-0.530598014
Spring,2,2013,147,5,LMP,5/27/2013,-0.336157251,-0.64596682
Spring,2,2013,148,5,LMP,5/28/2013,-0.438441198,-0.696525837
Spring,2,2013,149,5,LMP,5/29/2013,-0.500112188,-0.719547746
Spring,2,2013,150,5,LMP,5/30/2013,-0.524976271,-0.739407822
Spring,2,2013,151,5,LMP,5/31/2013,-0.539505913,-0.754004777
Spring,2,2013,152,6,LMP,6/1/2013,-0.550440994,-0.76164676
Spring,2,2013,153,6,LMP,6/2/2013,-0.556209726,-0.765955953
Spring,2,2013,154,6,LMP,6/3/2013,-0.558890497,-0.767080262
Spring,2,2013,155,6,LMP,6/4/2013,-0.560550353,-0.766280247
Spring,2,2013,156,6,LMP,6/5/2013,-0.573775972,-0.773507461
Spring,2,2013,157,6,LMP,6/6/2013,-0.586613836,-0.779062144
Spring,2,2013,158,6,LMP,6/7/2013,-0.599841335,-0.783116684
Spring,2,2013,159,6,LMP,6/8/2013,-0.563864147,-0.743453038
Spring,2,2013,160,6,LMP,6/9/2013,-0.54363712,-0.731502608
Spring,2,2013,161,6,LMP,6/10/2013,-0.52992114,-0.723611207
Spring,2,2013,162,6,LMP,6/11/2013,-0.524001879,-0.725323758
Spring,2,2013,163,6,LMP,6/12/2013,-0.515732986,-0.727007304
Spring,2,2013,164,6,LMP,6/13/2013,-0.520089843,-0.733829056
Spring,2,2013,165,6,LMP,6/14/2013,-0.528980935,-0.739015426
Spring,2,2013,166,6,LMP,6/15/2013,-0.54255581,-0.741312459
Spring,2,2013,167,6,LMP,6/16/2013,-0.560606666,-0.737941325
Spring,2,2013,168,6,LMP,6/17/2013,-0.572908797,-0.725602444
Spring,2,2013,169,6,LMP,6/18/2013,-0.59335907,-0.708258561
Spring,2,2013,170,6,LMP,6/19/2013,-0.623425689,-0.688575886
Spring,2,2013,171,6,LMP,6/20/2013,-0.690939028,-0.672215662
Spring,2,2013,172,6,LMP,6/21/2013,-0.66881873,-0.651103997
Spring,2,2013,173,6,LMP,6/22/2013,-0.662903673,-0.670630235
Spring,2,2013,174,6,LMP,6/23/2013,-0.7184372,-0.731528448
Spring,2,2013,175,6,LMP,6/24/2013,-0.779923347,-0.777930798
Spring,2,2013,176,6,LMP,6/25/2013,-0.837529119,-0.802564235
Spring,2,2013,177,6,LMP,6/26/2013,-0.858196448,-0.79194123
Spring,2,2013,178,6,LMP,6/27/2013,-0.811612157,-0.777220661
Spring,2,2013,179,6,LMP,6/28/2013,-0.760520541,-0.764179824
Spring,2,2013,180,6,LMP,6/29/2013,-0.723849712,-0.734879452
Spring,2,2013,181,6,LMP,6/30/2013,-0.703260949,-0.717649365
Summer,3,2013,182,7,LMP,7/1/2013,-0.704905556,-0.725078166
Summer,3,2013,183,7,LMP,7/2/2013,-0.708461586,-0.726034176
Summer,3,2013,184,7,LMP,7/3/2013,-0.70471037,-0.717849627
Summer,3,2013,185,7,LMP,7/4/2013,-0.713767474,-0.715223784
Summer,3,2013,186,7,LMP,7/5/2013,-0.747935696,-0.722485239
Summer,3,2013,187,7,LMP,7/6/2013,-0.813728136,-0.743403702
Summer,3,2013,188,7,LMP,7/7/2013,-0.881278506,-0.766760016
Summer,3,2013,189,7,LMP,7/8/2013,-0.900325143,-0.794773664
Summer,3,2013,190,7,LMP,7/9/2013,-0.922406026,-0.807943318
Summer,3,2013,191,7,LMP,7/10/2013,-0.947484622,-0.814228428
Summer,3,2013,192,7,LMP,7/11/2013,-0.938565974,-0.783328249
Summer,3,2013,193,7,LMP,7/12/2013,-0.925451522,-0.743319496
Summer,3,2013,194,7,LMP,7/13/2013,-0.872414363,-0.696222606
Summer,3,2013,195,7,LMP,7/14/2013,-0.786370484,-0.631130885
Summer,3,2013,196,7,LMP,7/15/2013,-0.63519915,-0.537061813
Summer,3,2013,197,7,LMP,7/16/2013,-0.432084166,-0.426924632
Summer,3,2013,198,7,LMP,7/17/2013,-0.271998234,-0.353560491
Summer,3,2013,199,7,LMP,7/18/2013,-0.218643719,-0.366756801
Summer,3,2013,200,7,LMP,7/19/2013,-0.224324604,-0.438228007
Summer,3,2013,201,7,LMP,7/20/2013,-0.247735541,-0.527499292
Summer,3,2013,202,7,LMP,7/21/2013,-0.278401916,-0.616960951
Summer,3,2013,203,7,LMP,7/22/2013,-0.30614487,-0.695918055
Summer,3,2013,204,7,LMP,7/23/2013,-0.32883231,-0.758407544
Summer,3,2013,205,7,LMP,7/24/2013,-0.350392657,-0.796099394
Summer,3,2013,206,7,LMP,7/25/2013,-0.364786097,-0.819366984
Summer,3,2013,207,7,LMP,7/26/2013,-0.368380162,-0.817813697
Summer,3,2013,208,7,LMP,7/27/2013,-0.369926749,-0.818434749
Summer,3,2013,209,7,LMP,7/28/2013,-0.373622173,-0.820908973
Summer,3,2013,210,7,LMP,7/29/2013,-0.378325676,-0.822661256
Summer,3,2013,211,7,LMP,7/30/2013,-0.378079715,-0.819219882
Summer,3,2013,212,7,LMP,7/31/2013,-0.359817291,-0.80304872
Summer,3,2013,213,8,LMP,8/1/2013,-0.334793475,-0.771772957
Summer,3,2013,214,8,LMP,8/2/2013,-0.313940126,-0.729768402
Summer,3,2013,215,8,LMP,8/3/2013,-0.27958093,-0.671231591
Summer,3,2013,216,8,LMP,8/4/2013,-0.230696041,-0.612358007
Summer,3,2013,217,8,LMP,8/5/2013,-0.184333392,-0.564582604
Summer,3,2013,218,8,LMP,8/6/2013,-0.146816208,-0.499443325
Summer,3,2013,219,8,LMP,8/7/2013,-0.109781603,-0.396765979
Summer,3,2013,220,8,LMP,8/8/2013,-0.078655078,-0.299142129
Summer,3,2013,221,8,LMP,8/9/2013,-0.07383005,-0.274555662
Summer,3,2013,222,8,LMP,8/10/2013,-0.078379485,-0.278354829
Summer,3,2013,223,8,LMP,8/11/2013,-0.075272951,-0.243627887
Summer,3,2013,224,8,LMP,8/12/2013,-0.052729674,-0.150314835
Summer,3,2013,228,8,LMP,8/16/2013,0.054339915,0.146300712
Summer,3,2013,229,8,LMP,8/17/2013,0.164297783,0.391510937
Summer,3,2013,230,8,LMP,8/18/2013,0.280722199,0.563300886
Summer,3,2013,231,8,LMP,8/19/2013,0.328528753,0.648720119
Summer,3,2013,232,8,LMP,8/20/2013,0.354552371,0.703348713
Summer,3,2013,233,8,LMP,8/21/2013,0.381195291,0.750566156
Summer,3,2013,234,8,LMP,8/22/2013,0.410193235,0.790168818
Summer,3,2013,235,8,LMP,8/23/2013,0.419232868,0.826137583
Summer,3,2013,236,8,LMP,8/24/2013,0.419069195,0.860916449
Summer,3,2013,237,8,LMP,8/25/2013,0.409160083,0.885803468
Summer,3,2013,238,8,LMP,8/26/2013,0.388859712,0.887409786
Summer,3,2013,239,8,LMP,8/27/2013,0.378667217,0.888277839
Summer,3,2013,240,8,LMP,8/28/2013,0.372911244,0.888169681
Summer,3,2013,241,8,LMP,8/29/2013,0.367497296,0.886385667
Summer,3,2013,242,8,LMP,8/30/2013,0.360798319,0.883704172
Summer,3,2013,243,8,LMP,8/31/2013,0.354804297,0.882413556
Summer,3,2013,244,9,LMP,9/1/2013,0.340631403,0.86980888
Summer,3,2013,245,9,LMP,9/2/2013,0.307458232,0.849241134
Summer,3,2013,246,9,LMP,9/3/2013,0.251280234,0.80219718
Summer,3,2013,247,9,LMP,9/4/2013,0.190869159,0.689817247
Summer,3,2013,248,9,LMP,9/5/2013,0.143365245,0.568039304
Summer,3,2013,249,9,LMP,9/6/2013,0.118451722,0.50315536
Summer,3,2013,250,9,LMP,9/7/2013,0.106047478,0.477682064
Summer,3,2013,251,9,LMP,9/8/2013,0.100493035,0.476554806
Summer,3,2013,252,9,LMP,9/9/2013,0.099890335,0.495601491
Summer,3,2013,253,9,LMP,9/10/2013,0.102226993,0.533629146
Summer,3,2013,254,9,LMP,9/11/2013,0.099569401,0.545461208
Summer,3,2013,255,9,LMP,9/12/2013,0.086840716,0.5357486
Summer,3,2013,256,9,LMP,9/13/2013,0.084040298,0.584806804
Summer,3,2013,257,9,LMP,9/14/2013,0.059012163,0.452253274
Summer,3,2013,258,9,LMP,9/15/2013,0.034510715,0.263907718
Summer,3,2013,259,9,LMP,9/16/2013,0.019840878,0.147330905
Summer,3,2013,260,9,LMP,9/17/2013,0.012184806,0.089893462
Summer,3,2013,261,9,LMP,9/18/2013,0.010963667,0.080726933
Summer,3,2013,262,9,LMP,9/19/2013,0.012211274,0.089375675
Summer,3,2013,263,9,LMP,9/20/2013,0.012391777,0.088719392
Summer,3,2013,264,9,LMP,9/21/2013,0.00905266,0.063603175
Summer,3,2013,265,9,LMP,9/22/2013,0.007569855,0.050502689
Summer,3,2013,266,9,LMP,9/23/2013,0.005643836,0.036491921
Summer,3,2013,267,9,LMP,9/24/2013,0.002356418,0.014748166
Summer,3,2013,268,9,LMP,9/25/2013,-0.000701769,-0.004208903
Summer,3,2013,269,9,LMP,9/26/2013,-0.008919863,-0.051064809
Summer,3,2013,270,9,LMP,9/27/2013,-0.022088964,-0.119030258
Summer,3,2013,271,9,LMP,9/28/2013,-0.04038186,-0.197370785
Summer,3,2013,272,9,LMP,9/29/2013,-0.068189898,-0.298743678
Summer,3,2013,273,9,LMP,9/30/2013,-0.114835818,-0.449702019
Fall,4,2013,274,10,LMP,10/1/2013,-0.165501833,-0.560456508
Fall,4,2013,275,10,LMP,10/2/2013,-0.181673215,-0.61745822
Fall,4,2013,276,10,LMP,10/3/2013,-0.21733039,-0.717383654
Fall,4,2013,277,10,LMP,10/4/2013,-0.236024173,-0.743687387
Fall,4,2013,278,10,LMP,10/5/2013,-0.241162513,-0.74991714
Fall,4,2013,279,10,LMP,10/6/2013,-0.243083655,-0.761924761
Fall,4,2013,280,10,LMP,10/7/2013,-0.245356873,-0.775095523
Fall,4,2013,281,10,LMP,10/8/2013,-0.248939912,-0.787808288
Fall,4,2013,282,10,LMP,10/9/2013,-0.252648842,-0.804587341
Fall,4,2013,283,10,LMP,10/10/2013,-0.254233372,-0.813355044
Fall,4,2013,284,10,LMP,10/11/2013,-0.25742094,-0.822553973
Fall,4,2013,285,10,LMP,10/12/2013,-0.262867048,-0.825612623
Fall,4,2013,286,10,LMP,10/13/2013,-0.323637347,-0.924516961
